year,rank,city,med_park_size_points,park_pct_city_points,pct_near_park_points,spend_per_resident_points,basketball_points,dogpark_points,playground_points,rec_sr_points,amenities_points,rank_last_time,state
2015,13,Albuquerque,8.0,20.0,32.0,7.0,8.0,20.0,10.0,15.0,53.0,15,NM
2016,20,Albuquerque,8.0,20.0,31.0,6.0,8.0,20.0,11.0,14.0,13.0,13,NM
2017,17,Albuquerque,8.0,20.0,31.0,6.0,7.0,20.0,11.0,13.0,13.0,20,NM
2018,40,Albuquerque,8.0,20.0,30.0,10.0,11.0,40.0,24.0,27.0,21.0,17,NM
2019,34,Albuquerque,20.0,50.0,82.5,27.5,25.0,100.0,57.5,68.0,52.1,40,NM
2020,35,Albuquerque,19.0,50.0,81.0,30.0,27.0,100.0,52.0,91.0,60.8,34,NM
2015,51,Anaheim,17.0,7.0,22.0,6.0,4.0,3.0,3.0,2.0,12.0,36,CA
2016,65,Anaheim,17.0,8.0,19.0,7.0,4.0,2.0,4.0,2.0,3.0,51,CA
2017,63,Anaheim,17.0,8.0,19.0,7.0,3.0,4.0,4.0,2.0,3.0,65,CA
2018,68,Anaheim,16.0,8.0,19.0,13.0,4.0,7.0,7.0,5.0,11.0,63,CA
2019,59,Anaheim,40.0,20.0,52.5,50.0,10.0,15.0,22.5,10.0,22.1,68,CA
2020,45,Anaheim,39.0,37.0,50.0,63.0,8.0,26.0,15.0,11.0,21.3,59,CA
2015,24,Anchorage,8.0,20.0,26.0,8.0,10.0,20.0,10.0,3.0,43.0,24,AK
2016,31,Anchorage,8.0,20.0,25.0,9.0,10.0,20.0,11.0,3.0,11.0,24,AK
2017,31,Anchorage,8.0,20.0,25.0,10.0,9.0,20.0,10.0,3.0,11.0,31,AK
2018,36,Anchorage,9.0,20.0,24.0,20.0,15.0,40.0,21.0,6.0,20.0,31,AK
2019,37,Anchorage,22.5,50.0,65.0,50.0,17.5,100.0,52.5,18.0,38.8,36,AK
2020,39,Anchorage,21.0,50.0,62.0,49.0,14.0,100.0,46.0,19.0,37.8,37,AK
2015,48,"Arlington, Texas",20.0,7.0,18.0,9.0,1.0,3.0,3.0,3.0,10.0,36,TX
2016,58,"Arlington, Texas",20.0,8.0,16.0,10.0,1.0,2.0,4.0,4.0,3.0,48,TX
2017,59,"Arlington, Texas",20.0,7.0,16.0,10.0,1.0,1.0,3.0,3.0,2.0,58,TX
2018,63,"Arlington, Texas",20.0,8.0,14.0,17.0,8.0,7.0,10.0,7.0,10.0,59,TX
2019,68,"Arlington, Texas",50.0,17.5,37.5,45.0,17.5,12.5,20.0,18.0,25.0,63,TX
2020,59,"Arlington, Texas",50.0,18.0,36.0,55.0,14.0,11.0,14.0,17.0,23.0,68,TX
2016,4,"Arlington, Virginia",4.0,12.0,40.0,20.0,16.0,20.0,19.0,19.0,19.0,4,VA
2017,6,"Arlington, Virginia",4.0,11.0,39.0,20.0,15.0,20.0,19.0,18.0,18.0,4,VA
2018,4,"Arlington, Virginia",4.0,11.0,40.0,40.0,40.0,40.0,36.0,36.0,36.0,6,VA
2019,4,"Arlington, Virginia",10.0,27.5,97.5,100.0,100.0,100.0,87.5,73.0,90.0,4,VA
2020,4,"Arlington, Virginia",10.0,28.0,99.0,100.0,100.0,100.0,80.0,76.0,89.0,4,VA
2015,48,Atlanta,6.0,5.0,24.0,11.0,11.0,4.0,9.0,20.0,44.0,42,GA
2016,51,Atlanta,6.0,6.0,22.0,14.0,11.0,10.0,12.0,20.0,13.0,48,GA
2017,50,Atlanta,6.0,5.0,22.0,16.0,9.0,10.0,11.0,18.0,12.0,51,GA
2018,43,Atlanta,5.0,6.0,22.0,30.0,16.0,15.0,23.0,38.0,22.0,50,GA
2019,41,Atlanta,12.5,15.0,57.5,75.0,35.0,30.0,52.5,95.0,52.1,43,GA
2020,40,Atlanta,12.0,14.0,58.0,85.0,30.0,34.0,42.0,100.0,49.7,41,GA
2015,13,Aurora,15.0,10.0,34.0,14.0,6.0,11.0,8.0,3.0,28.0,10,CO
2016,16,Aurora,15.0,11.0,33.0,16.0,5.0,9.0,9.0,3.0,7.0,13,CO
2017,15,Aurora,15.0,11.0,33.0,17.0,5.0,7.0,8.0,2.0,6.0,16,CO
2018,20,Aurora,16.0,11.0,33.0,31.0,5.0,14.0,15.0,5.0,12.0,15,CO
2019,23,Aurora,37.5,25.0,82.5,80.0,15.0,42.5,35.0,10.0,33.8,20,CO
2020,24,Aurora,37.0,27.0,82.0,84.0,13.0,37.0,28.0,11.0,31.3,23,CO
2015,31,Austin,20.0,15.0,16.0,9.0,6.0,18.0,3.0,7.0,34.0,33,TX
2016,47,Austin,19.0,16.0,12.0,10.0,6.0,15.0,4.0,7.0,8.0,31,TX
2017,46,Austin,17.0,11.0,15.0,12.0,10.0,14.0,5.0,6.0,9.0,47,TX
2018,42,Austin,17.0,11.0,18.0,22.0,16.0,25.0,11.0,14.0,18.0,46,TX
2019,43,Austin,42.5,25.0,40.0,62.5,32.5,57.5,20.0,35.0,41.3,42,TX
2020,37,Austin,39.0,25.0,39.0,82.0,28.0,50.0,14.0,35.0,43.5,43,TX
2015,50,Bakersfield,18.0,5.0,12.0,10.0,7.0,20.0,12.0,5.0,44.0,36,CA
2016,71,Bakersfield,17.0,6.0,9.0,9.0,7.0,20.0,12.0,5.0,11.0,50,CA
2017,71,Bakersfield,18.0,5.0,9.0,9.0,6.0,20.0,12.0,5.0,11.0,71,CA
2018,65,Bakersfield,18.0,6.0,9.0,13.0,9.0,40.0,22.0,10.0,23.0,71,CA
2019,64,Bakersfield,45.0,12.5,22.5,37.5,25.0,97.5,55.0,13.0,59.6,65,CA
2020,63,Bakersfield,43.0,13.0,18.0,45.0,21.0,84.0,48.0,14.0,56.0,64,CA
2015,40,Baltimore,1.0,9.0,34.0,6.0,5.0,3.0,13.0,19.0,40.0,25,MD
2016,49,Baltimore,1.0,10.0,33.0,8.0,5.0,3.0,13.0,17.0,10.0,40,MD
2017,53,Baltimore,1.0,10.0,32.0,7.0,4.0,3.0,12.0,16.0,9.0,49,MD
2018,58,Baltimore,1.0,10.0,32.0,14.0,7.0,6.0,25.0,34.0,15.0,53,MD
2019,61,Baltimore,2.5,22.5,82.5,30.0,15.0,10.0,60.0,93.0,37.9,58,MD
2020,58,Baltimore,2.0,23.0,81.0,37.0,30.0,10.0,54.0,100.0,40.8,61,MD
2016,88,Baton Rouge,8.0,2.0,13.0,5.0,20.0,9.0,11.0,20.0,15.0,88,LA
2017,89,Baton Rouge,8.0,2.0,13.0,5.0,19.0,8.0,10.0,20.0,14.0,88,LA
2018,90,Baton Rouge,8.0,2.0,13.0,7.0,40.0,15.0,20.0,40.0,23.0,89,LA
2019,91,Baton Rouge,20.0,5.0,32.5,17.5,100.0,30.0,45.0,100.0,57.1,90,LA
2020,91,Baton Rouge,19.0,5.0,30.0,19.0,100.0,27.0,39.0,100.0,55.2,91,LA
2016,43,Boise,14.0,9.0,19.0,12.0,8.0,20.0,15.0,5.0,12.0,43,ID
2017,35,Boise,14.0,8.0,19.0,17.0,7.0,20.0,14.0,13.0,14.0,43,ID
2018,29,Boise,14.0,9.0,18.0,32.0,10.0,40.0,27.0,25.0,24.0,35,ID
2019,20,Boise,35.0,22.5,55.0,90.0,27.5,100.0,62.5,63.0,62.1,29,ID
2020,21,Boise,34.0,23.0,53.0,98.0,23.0,100.0,56.0,66.0,60.5,20,ID
2015,8,Boston,3.0,18.0,40.0,13.0,15.0,10.0,12.0,13.0,50.0,3,MA
2016,9,Boston,3.0,19.0,40.0,14.0,15.0,12.0,11.0,12.0,13.0,8,MA
2017,13,Boston,2.0,18.0,39.0,13.0,12.0,10.0,16.0,11.0,12.0,9,MA
2018,13,Boston,2.0,19.0,40.0,25.0,21.0,23.0,33.0,24.0,25.0,13,MA
2019,13,Boston,5.0,45.0,100.0,70.0,47.5,80.0,75.0,60.0,65.4,13,MA
2020,9,Boston,4.0,45.0,100.0,92.0,53.0,76.0,70.0,63.0,65.2,13,MA
2015,40,Buffalo,2.0,7.0,34.0,5.0,20.0,10.0,8.0,9.0,47.0,40,NY
2016,52,Buffalo,2.0,8.0,33.0,5.0,20.0,8.0,9.0,9.0,12.0,40,NY
2017,58,Buffalo,2.0,7.0,32.0,4.0,20.0,6.0,8.0,8.0,11.0,52,NY
2018,51,Buffalo,2.0,7.0,33.0,8.0,40.0,13.0,17.0,17.0,27.0,58,NY
2019,48,Buffalo,5.0,17.5,85.0,30.0,100.0,25.0,40.0,43.0,62.9,51,NY
2020,43,Buffalo,3.0,18.0,85.0,44.0,100.0,23.0,32.0,45.0,62.0,48,NY
2016,71,Chandler,16.0,3.0,16.0,7.0,9.0,18.0,8.0,3.0,10.0,71,AZ
2017,59,Chandler,16.0,3.0,18.0,7.0,12.0,16.0,8.0,6.0,11.0,71,AZ
2018,63,Chandler,16.0,3.0,18.0,15.0,20.0,30.0,15.0,13.0,17.0,59,AZ
2019,69,Chandler,40.0,7.5,45.0,35.0,45.0,62.5,37.5,30.0,45.0,63,AZ
2020,65,Chandler,39.0,7.0,43.0,38.0,41.0,55.0,57.0,31.0,46.0,69,AZ
2015,74,Charlotte,20.0,4.0,2.0,5.0,3.0,7.0,6.0,6.0,22.0,57,NC
2016,95,Charlotte,20.0,6.0,1.0,4.0,2.0,6.0,7.0,6.0,5.0,74,NC
2017,97,Charlotte,20.0,4.0,1.0,4.0,3.0,6.0,8.0,7.0,6.0,95,NC
2018,97,Charlotte,20.0,4.0,1.0,7.0,2.0,8.0,12.0,11.0,8.0,97,NC
2019,95,Charlotte/Mecklenburg County,50.0,12.5,7.5,17.5,55.0,12.5,32.5,28.0,27.9,95,NC
2020,95,Charlotte/Mecklenburg County,50.0,13.0,3.0,26.0,51.0,17.0,26.0,28.0,27.3,95,NC
2016,60,Chesapeake,10.0,20.0,7.0,7.0,6.0,20.0,12.0,11.0,12.0,60,VA
2017,52,Chesapeake,12.0,20.0,6.0,9.0,8.0,20.0,12.0,10.0,13.0,60,VA
2018,41,Chesapeake,14.0,20.0,5.0,19.0,25.0,40.0,40.0,25.0,28.0,52,VA
2019,46,Chesapeake,35.0,50.0,15.0,45.0,55.0,92.5,97.5,63.0,56.7,41,VA
2020,46,Chesapeake,34.0,50.0,13.0,53.0,100.0,82.0,62.0,65.0,58.8,46,VA
2015,12,Chicago,4.0,9.0,38.0,20.0,11.0,10.0,9.0,20.0,50.0,16,IL
2016,15,Chicago,4.0,10.0,37.0,20.0,11.0,9.0,9.0,20.0,12.0,12,IL
2017,11,Chicago,2.0,10.0,39.0,20.0,16.0,8.0,13.0,20.0,14.0,15,IL
2018,8,Chicago,4.0,10.0,40.0,39.0,32.0,15.0,28.0,40.0,29.0,11,IL
2019,10,Chicago,10.0,25.0,97.5,95.0,72.5,35.0,67.5,100.0,74.2,8,IL
2020,10,Chicago,9.0,24.0,98.0,100.0,70.0,35.0,61.0,100.0,73.2,10,IL
2015,58,Chula Vista,13.0,7.0,18.0,3.0,7.0,15.0,11.0,9.0,42.0,58,CA
2016,78,Chula Vista,13.0,8.0,14.0,4.0,7.0,13.0,12.0,9.0,10.0,58,CA
2017,75,Chula Vista,14.0,7.0,15.0,4.0,6.0,11.0,11.0,8.0,9.0,78,CA
2018,76,Chula Vista,14.0,6.0,16.0,6.0,10.0,39.0,29.0,16.0,19.0,75,CA
2019,74,Chula Vista,32.5,15.0,52.5,15.0,22.5,82.5,67.5,40.0,47.5,76,CA
2020,70,Chula Vista,32.0,18.0,50.0,18.0,19.0,100.0,60.0,42.0,48.5,74,CA
2015,7,Cincinnati,9.0,16.0,26.0,20.0,20.0,17.0,20.0,20.0,77.0,7,OH
2016,10,Cincinnati,8.0,15.0,25.0,20.0,20.0,15.0,20.0,20.0,19.0,7,OH
2017,10,Cincinnati,9.0,14.0,25.0,20.0,19.0,13.0,20.0,20.0,18.0,10,OH
2018,7,Cincinnati,8.0,15.0,25.0,40.0,40.0,25.0,40.0,38.0,37.0,10,OH
2019,8,Cincinnati,20.0,35.0,67.5,100.0,100.0,52.5,100.0,98.0,90.8,7,OH
2020,5,Cincinnati,20.0,36.0,74.0,100.0,100.0,63.0,94.0,100.0,92.5,8,OH
2015,38,Cleveland,7.0,5.0,30.0,10.0,20.0,6.0,11.0,16.0,53.0,26,OH
2016,43,Cleveland,6.0,6.0,30.0,11.0,20.0,5.0,12.0,15.0,13.0,38,OH
2017,45,Cleveland,6.0,6.0,29.0,11.0,20.0,4.0,14.0,14.0,13.0,43,OH
2018,37,Cleveland,6.0,6.0,30.0,22.0,40.0,7.0,30.0,29.0,28.0,45,OH
2019,38,Cleveland,17.5,15.0,75.0,57.5,100.0,27.5,67.5,75.0,66.7,37,OH
2020,29,Cleveland,17.0,15.0,75.0,76.0,96.0,24.0,64.0,79.0,65.3,38,OH
2015,38,Colorado Springs,13.0,9.0,26.0,5.0,11.0,20.0,12.0,3.0,46.0,23,CO
2016,43,Colorado Springs,13.0,10.0,24.0,6.0,16.0,20.0,12.0,4.0,13.0,38,CO
2017,42,Colorado Springs,13.0,9.0,24.0,8.0,15.0,19.0,12.0,3.0,12.0,43,CO
2018,46,Colorado Springs,13.0,9.0,23.0,15.0,18.0,36.0,23.0,7.0,20.0,42,CO
2019,49,Colorado Springs,30.0,22.5,62.5,42.5,40.0,75.0,50.0,15.0,41.7,46,CO
2020,53,Colorado Springs,29.0,23.0,61.0,41.0,35.0,66.0,47.0,16.0,38.7,49,CO
2015,57,Columbus,14.0,8.0,16.0,8.0,6.0,7.0,6.0,9.0,28.0,47,OH
2016,65,Columbus,14.0,9.0,14.0,10.0,6.0,6.0,6.0,8.0,7.0,57,OH
2017,56,Columbus,15.0,11.0,14.0,11.0,6.0,5.0,6.0,8.0,6.0,65,OH
2018,62,Columbus,15.0,9.0,14.0,21.0,11.0,8.0,11.0,16.0,11.0,56,OH
2019,52,Columbus,37.5,22.5,40.0,50.0,100.0,20.0,50.0,43.0,44.6,62,OH
2020,49,Columbus,36.0,20.0,51.0,49.0,100.0,19.0,45.0,44.0,43.3,52,OH
2015,45,Corpus Christi,6.0,7.0,28.0,6.0,11.0,0.0,19.0,12.0,42.0,28,TX
2016,60,Corpus Christi,6.0,8.0,26.0,7.0,10.0,0.0,17.0,10.0,9.0,45,TX
2017,59,Corpus Christi,6.0,8.0,25.0,7.0,9.0,0.0,16.0,10.0,9.0,60,TX
2018,61,Corpus Christi,6.0,9.0,26.0,13.0,16.0,1.0,37.0,19.0,17.0,59,TX
2019,66,Corpus Christi,15.0,20.0,65.0,30.0,35.0,15.0,82.5,48.0,45.4,61,TX
2020,76,Corpus Christi,14.0,20.0,63.0,27.0,32.0,15.0,78.0,47.0,38.8,66,TX
2015,40,Dallas,14.0,13.0,20.0,6.0,10.0,4.0,5.0,9.0,28.0,36,TX
2016,54,Dallas,14.0,13.0,18.0,7.0,9.0,4.0,6.0,8.0,7.0,40,TX
2017,50,Dallas,15.0,13.0,18.0,9.0,8.0,2.0,4.0,8.0,6.0,54,TX
2018,49,Dallas,15.0,13.0,18.0,22.0,14.0,1.0,9.0,16.0,10.0,50,TX
2019,53,Dallas,37.5,22.5,55.0,57.5,30.0,5.0,25.0,40.0,22.1,49,TX
2020,54,Dallas,36.0,23.0,56.0,58.0,26.0,1.0,17.0,40.0,18.7,53,TX
2015,16,Denver,12.0,7.0,34.0,13.0,5.0,20.0,15.0,13.0,53.0,7,CO
2016,20,Denver,12.0,8.0,33.0,13.0,5.0,15.0,16.0,12.0,12.0,16,CO
2017,20,Denver,12.0,8.0,33.0,13.0,4.0,15.0,14.0,11.0,11.0,20,CO
2018,26,Denver,13.0,8.0,33.0,26.0,6.0,29.0,29.0,19.0,19.0,20,CO
2019,28,Denver,32.5,20.0,87.5,60.0,12.5,82.5,65.0,50.0,43.8,26,CO
2020,22,Denver,31.0,20.0,86.0,72.0,71.0,71.0,61.0,54.0,58.7,28,CO
2019,39,Des Moines,50.0,32.5,55.0,35.0,37.5,55.0,45.0,8.0,50.8,39,IA
2020,34,Des Moines,50.0,32.0,55.0,50.0,33.0,49.0,38.0,52.0,55.7,39,IA
2015,60,Detroit,4.0,5.0,30.0,1.0,12.0,7.0,19.0,4.0,42.0,28,MI
2016,75,Detroit,4.0,6.0,29.0,1.0,12.0,6.0,19.0,5.0,11.0,60,MI
2017,75,Detroit,4.0,6.0,28.0,1.0,11.0,5.0,19.0,4.0,10.0,75,MI
2018,88,Detroit,4.0,6.0,28.0,5.0,13.0,12.0,21.0,9.0,11.0,75,MI
2019,83,Detroit,10.0,15.0,72.5,20.0,35.0,32.5,55.0,30.0,32.9,88,MI
2020,73,Detroit,9.0,13.0,70.0,41.0,31.0,30.0,40.0,32.0,31.3,83,MI
2016,65,Durham,20.0,3.0,12.0,9.0,6.0,13.0,9.0,10.0,10.0,65,NC
2017,72,Durham,18.0,3.0,12.0,8.0,6.0,13.0,9.0,10.0,10.0,65,NC
2018,69,Durham,17.0,3.0,12.0,12.0,30.0,21.0,15.0,19.0,23.0,72,NC
2019,73,Durham,40.0,7.5,30.0,27.5,65.0,65.0,32.5,45.0,59.6,69,NC
2020,72,Durham,39.0,7.0,26.0,38.0,60.0,55.0,25.0,47.0,55.7,73,NC
2015,55,El Paso,7.0,20.0,16.0,3.0,9.0,4.0,9.0,11.0,33.0,44,TX
2016,75,El Paso,7.0,20.0,13.0,3.0,9.0,4.0,10.0,10.0,8.0,55,TX
2017,79,El Paso,7.0,20.0,12.0,2.0,7.0,3.0,10.0,9.0,7.0,75,TX
2018,78,El Paso,7.0,20.0,13.0,3.0,13.0,8.0,30.0,19.0,17.0,79,TX
2019,71,El Paso,17.5,50.0,37.5,15.0,70.0,22.5,77.5,53.0,47.9,78,TX
2020,66,El Paso,12.0,50.0,38.0,26.0,65.0,21.0,73.0,53.0,45.8,71,TX
2016,98,Fort Wayne,7.0,3.0,9.0,8.0,5.0,8.0,8.0,5.0,7.0,98,IN
2017,98,Fort Wayne,7.0,3.0,10.0,8.0,5.0,7.0,8.0,5.0,6.0,98,IN
2015,60,Fort Worth,15.0,4.0,18.0,9.0,4.0,1.0,8.0,8.0,21.0,40,TX
2016,78,Fort Worth,14.0,5.0,16.0,9.0,4.0,1.0,9.0,4.0,5.0,60,TX
2017,79,Fort Worth,15.0,5.0,16.0,8.0,3.0,1.0,8.0,3.0,4.0,78,TX
2018,82,Fort Worth,15.0,5.0,16.0,12.0,4.0,8.0,16.0,7.0,8.0,79,TX
2019,88,Fort Worth,37.5,12.5,42.5,30.0,15.0,2.5,37.5,18.0,12.9,82,TX
2020,94,Fort Worth,36.0,13.0,40.0,26.0,5.0,2.0,31.0,17.0,9.8,88,TX
2016,27,Fremont,14.0,20.0,20.0,14.0,7.0,4.0,7.0,7.0,6.0,27,CA
2017,24,Fremont,14.0,20.0,19.0,15.0,6.0,8.0,6.0,6.0,7.0,27,CA
2018,32,Fremont,12.0,20.0,19.0,26.0,10.0,40.0,13.0,13.0,18.0,24,CA
2019,33,Fremont,30.0,50.0,55.0,57.5,25.0,100.0,30.0,30.0,45.0,32,CA
2020,33,Fremont,30.0,50.0,54.0,62.0,21.0,89.0,29.0,32.0,47.3,33,CA
